superkingdom,phylum,class,order,family,genus,species,tax_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora brasiliensis,106,,,,,,,,,,,,,,0.039426659,0.040974897,0.054167658,0.052205177,0.041015094,,0.044831155
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus drummondii,97,0.023238333,0.030699205,0.076339535,0.001735882,0.065005884,0.013330633,0.079631248,0.052211307,0.008274196,0.040608558,0.030549288,0.040467292,0.010632137,0.028333827,,0.059979155,0.045986842,0.050463459,0.019567311,0.044733931
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus sp. 1,54,0.048086438,0.005692737,0.010694153,0.065591081,0.060668372,0.095628005,0.084261151,0.094639072,0.047930928,0.007867287,,0.018673672,0.036251707,0.038079783,,0.019703017,0.024705062,0.008324095,0.057529118,0.054808988
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus sp. 2,215,0.005731456,,0.081980944,0.067460176,0.046049782,0.061515973,0.011218943,0.072942641,0.071990999,0.093631672,0.020242531,0.052204892,0.04420166,0.026663486,0.03595277,0.029571019,0.061114725,0.023234344,0.009605523,0.024311771
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus sp. 3,240,0.076448228,0.067670396,0.002507796,0.059728702,0.025754137,0.07206443,0.024845188,0.016898648,0.027255287,0.056819392,0.005065858,0,0.007767423,0.02792103,,0.051890831,0.047580194,0.051383089,0.020345978,0.010382175
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus sp. 4,239,0.03491494,,0.064642151,0.048843653,0.084644024,0.030352808,0.060497675,0.098669897,0.059281442,0.049558256,,0.057424882,0.019716044,0.027112665,0.039716336,0.060535413,0.050685352,0.050107145,0.028040461,0.010956578
Fungi,Glomeromycota,Glomeromycetes,Archaeosporales,Geosiphonaceae,Geosiphon,Geosiphon pyriformis,85,,,,,,,,,,,,,,,,,,0.007628694,0.013576098,0.005828362
Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Diversispora,Diversispora epigaea,71,0.084136045,0.053984787,0.066557104,0.095436133,0.024810886,0.041402793,0.017011645,0.044284363,0.016695955,0.061289997,,0.046223206,0.00350135,0.045370164,,0.048887943,0.063192791,0.057132119,0.049855368,0.043765184
Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Diversispora,Diversispora spurca,73,0.075266328,,0.041042532,0.090377258,0.071610827,0.002115508,0.023202224,0,0.082727039,0.06388423,,,0.014851522,,,,0.041694613,,,
Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Diversispora,Diversispora sp. 1,219,0.078898757,0.063115909,0.056229292,0.066978419,0.02453587,0.092966381,0.003116834,0,0.032928977,0.017574393,0.032546922,0.008549147,,,,0.058467492,,0.065301039,,0.027210547
Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Diversispora,Diversispora sp. 2,271,0.058144787,0.015285722,0.006706539,0.052352243,0.06738347,0.078876469,0.085989151,0,0.090838359,0.080574013,,0.002359198,,0.001377782,0.031860067,,0.027808915,,0.021278337,
Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Diversispora,Diversispora sp. 3,220,0.084649,0.031320041,0.005055124,0.02664824,0.08659046,0.008751463,0.001441709,0,0.029311276,0.003088541,,,,,,,,0.006766562,0.009618694,0.005541302
Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Diversispora,Diversispora sp. 4,17,0.0754895,0.047953,0.012386155,0.009429173,0.042116477,0.058696061,0.002091865,0.082037417,0.008931168,0.063510679,,,,,0.001055066,,,,,
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Gigasporaceae,Dominikia,Dominikia sp.6,202,0.012241767,0.014278745,0.001798182,0.010840314,0.007264609,0.018151647,0.019695041,0.004288052,0.011694457,0.017022129,,0.013701093,0.010267269,0.012901694,,0.008004309,,,0.00659595,0.015498371
Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,Gigaspora gigentia,314484,0.065956351,0.039716248,0.002788333,4.50E-05,0.000774376,0.009549556,0.015115636,0.005363291,0.001940473,0.002563012,,,0.104357287,0.181877482,0.010667153,0.09744034,0.099210355,,,
Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,Gigaspora  rosea,61,0.000139149,,0.017325255,0.004284069,0.011657169,0.000883148,0.018117654,0.001592628,0.014190654,0.011031624,,0.011073014,0.011699331,,0.043327726,0.059415841,,,,0.04560943
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia aurea,266,0.007837813,0.001736715,0.009514442,0.013870672,0.002712123,0.009521669,0.015182455,0.005998134,0.010101388,0.006130771,,,0.016217403,0.000805586,0.010512465,0.007977732,0.014993628,0.016562449,0.009693432,0.011103618
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia difficilevidera,261,0.00397729,0.002827218,0.002777461,0.005989206,0.015415104,0.001351579,0.010185329,0.017176151,0.000550311,0.003535105,0.011318979,0.003958204,0.01419997,,0.002738584,0.004974678,0.007682832,0.006699081,0.01652072,0.01288302
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia minuta,128,0.000146233,,0.016487352,0.01823348,0.01583654,0.008312256,0.010298953,0.008312811,0.012080591,0.001225702,0.032413251,,0.011944944,0.010025989,0.000967658,0.011063835,0.00060851,0.009028159,0.015935158,0.006445551
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia sp.1,128,0.010105777,0.009189075,0.005620118,0.008548172,0.006881895,0.017261547,0.013464168,0.007349465,0.017189779,0.00904039,0.012859198,,0.002440222,0.014982943,0.007517404,0.007162731,0.015975142,0.009781047,0.009043124,0.004891586
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia sp.2,224,0.002443138,0.013726251,0.001788584,0.003448734,0.017593861,0.00094664,0.003974484,0.005187332,0.014688923,0.016516232,0.014506976,0.006755767,0.004945396,0.007151224,0.003038517,0.016016843,0.00164863,0.011916441,0.010351012,0.000105866
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia sp.3,227,0.006436551,0.010538738,0.018023181,0.005776354,0.010436401,0.002974526,0.015866943,0.009340719,0.015168178,0.009729529,0.006576412,0.016109119,0.010088652,0.00177357,0.009668454,0.010979313,0.008696117,0.000310514,0.011243786,0.013160544
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia sp.4,225,0.096714949,0.017002957,0.009812374,,0.003395289,0.014300743,0.006678552,0.011005269,0.008226953,0.013959757,0.011587774,0.0033258,0.013561981,0.008625398,0.013852541,0.01544571,0.004452829,0.009397809,0.006157672,0.014906035
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia sp.5,8,0.004431603,0.001418305,0.019008425,0.011528305,0.001242344,0.001162231,0.012913171,0.016347516,0.008532296,0.017941977,0.012684245,0.003637969,0.003151405,0.008638542,0.006569152,0.008393332,0.005323805,0.015268794,0.012930594,0.005342048
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,Funneliformis mosseae,117,0.019794003,0.00113978,0.018850302,0.00111531,0.011807074,0.001707421,3.61E-05,0.009460726,0.014354976,0.010553195,0.00108344,0.010731688,0.000655382,0.009658948,0.010986716,0.016093294,0.003451897,0.001116991,0.000462295,0.003230763
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,UNK,Glomeraceae sp. 1,,,0.146894749,0.380942156,0.217234354,0.302960464,0.282017881,0.35815088,0.108891901,0.309907304,0.270649794,0.404099419,0.001124531,0.510993685,,,0.001356487,0.01548998,0.0247413,0.253323643,0.0423468
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,Kamienskia bistrata,119,0.010529608,0.012099813,,0.019516929,0.007602281,0.007977103,0.001439006,0.008799266,0.005389881,0.001383688,0.003213975,0.002422884,0.004015295,0.01264577,0.014909258,0.004455234,0.012554684,0.010563321,0.004930286,0.016204757
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,Kamienskia sp.1,313,0.014551128,0.085961149,0.001882505,0.016337921,0.015805585,0.017103221,0.012991422,0.018930309,0.003521616,0.013287527,0.010022459,0.002195389,0.008713795,0.001815789,0.008459234,0.00920608,0.012591589,0.004913364,0.007520939,0.006251622
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus ,Rhizophagus clarus,76,0.017521975,0.01786169,0.011403886,0.01759164,0.007632441,0.017138117,0.000647755,0.012503292,0.000141825,0.00495896,0.013643552,0.015726689,0.010210794,0.012210291,0.069772542,0.004645747,0.00089974,0.043886622,0.001726572,0.012667538
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus ,Rhizophagus fasciculatis,30,0.004992688,0.0354,0.004786903,0.01920235,0.017320812,0.004823595,0.0024924,0.006358417,0.017141371,0.019816745,0.03,0.09567233,0.008928288,0.117174086,0.0711466,0.0789951,0.000674101,0.012064183,0.005455715,0.016177943
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus ,Rhizophagus intraradices,76,0.019467017,0.001685821,0.00323374,0.009194691,0.000165917,0.009971539,0.005852594,0.03314054,0.013507622,0.017408451,0.013191079,0.074542152,0.009088777,0.016238782,0.06789217,0.015238894,0.2413578,0.01259061,0.013862219,0.097811223
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus ,Rhizophagus. irregularis,30,0.000678807,0.07421477,0.002542208,0.007997805,0.005937924,0.012556994,0.017847416,0.007476447,0.003381494,0.019030947,0.02333412,0.013149568,0.008820486,0.012094303,0.04223174,0.098874133,0.000817883,0.015094428,0.013494501,0.151130821
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus ,Rhizophagus proliferus,65,0.007314979,0.08654131,0.007075977,0.004949121,0.005809666,0.016512039,0.017910078,0.001635639,0.012248088,0.002790916,0.01234447,0.022420867,0.003829028,0.02355664,0.2310041,0.029746382,0.004693147,0.103256898,0.007765066,0.08744137
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus ,Rhizophagus sp. 1,29,0.011759831,0.0645899,,0.000514528,0.006500617,0.011975361,0.014137939,0.014692116,0.008712397,0.014780433,0.01055586,0.041229161,0.010470955,0.06598632,0.0341147,0.011597531,0.010713364,0.010643598,0.002062921,0.016517932
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus ,Rhizophagus sp. 2,135,0.012762418,0.019428757,0.004533579,0.010986895,0.003739449,0.001324127,0.001237526,0.087433215,0.003435648,0.009817049,0.010971529,0.324671,0.013447886,0.012989871,0.0874464,0.012765512,0.006121399,0.09785217,0.004858566,0.054447131
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Sclerocystis,Sclerocystis constrictum,130,0.005739467,0.003950008,0.013723954,0.015138045,0.018632035,0.015606591,0.018992298,0.065479531,0.014520526,0.008080542,0.014688832,0.012337822,0.006908707,0.015413215,0.015209521,0.002850166,0.003402633,0.015274158,0.007464871,0.008435125
Fungi,Glomeromycota,Glomeromycetes,Paraglomus,Paraglomeraceae,Paraglomus,Paraglomus bolivianum,306,0.019453646,0.018456042,0.013969547,-0.029683226,-0.122591844,-0.052335071,0.000447481,0.043211457,-0.033824171,-0.061732923,0.205723096,0.056263538,0.048915485,0.193712894,0.078198042,0.063022017,0.104610076,0.190853185,0.337638561,0.065662488
Fungi,Glomeromycota,Glomeromycetes,Paraglomus,Paraglomeraceae,Paraglomus,Paraglomus pernambucanum,307,,0.005258112,0.005256142,0.004644318,0.016169973,0.000885314,0.008979246,0.013919231,0.019958196,0.003015488,0.023364465,0.013049126,0.008283857,0.014450522,0.00792026,0.005684772,0.00078303,0.014829173,0.010235034,0.005791358
,,,,,,unidentifyied,,,0.00036205,0.002714069,0.018114053,0.010127706,0.012619702,0.00403784,0.0144232,0.017073598,0.019055942,0.03341227,0.03,0.006921877,0.010984745,0.002289927,0.01539146,0.008273158,0.002000065,0.001310475,0.013567067